Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,-596548.3219,724336.5278,-127788.2059,299.0019479,167.0935676,-466.0955155
Healthy,-640199.7211,695652.5756,-55452.85449,263.2690427,207.9282736,-471.1973163
Healthy,-678168.6655,660793.9623,17374.70324,225.198832,246.9174599,-472.1162919
Healthy,-710118.1401,620070.0954,90048.04473,185.1292298,283.7150555,-468.8442853
Healthy,-735764.5592,573842.4429,161922.1163,143.4158967,317.9944426,-461.4103393
Healthy,-754880.2832,522521.3247,232358.9585,100.4290831,349.4513547,-449.8804378
Healthy,-767295.6397,466562.2706,300733.3691,56.55034311,377.8065782,-434.3569213
Healthy,-772900.4291,406461.9773,366438.4518,12.16914749,402.80843,-414.9775775
Healthy,-771644.9028,342753.899,428891.0038,-32.32057311,424.234992,-391.9144189
Healthy,-763540.2051,276003.5134,487536.6917,-76.52392478,441.8960804,-365.3721556
Healthy,-748658.2737,206803.3014,541854.9723,-120.0485554,455.6349342,-335.5863788
Healthy,-727131.2018,135767.4891,591363.7127,-162.5081374,465.3296064,-302.821469
Healthy,-699150.0652,63526.59541,635623.4698,-203.5257964,470.8940463,-267.36825
Healthy,-664963.2264,-9278.164417,674241.3908,-242.7374567,472.2788637,-229.541407
Healthy,-624874.1302,-82000.57018,706874.7004,-279.795073,469.4717667,-189.6766937
Healthy,-579238.6103,-153995.1326,733233.743,-314.3697191,462.4976713,-148.1279522
Healthy,-528461.7308,-224622.823,753084.5538,-346.1545081,451.4184801,-105.263972
Healthy,-472994.1909,-293256.7448,766250.9357,-374.8673159,436.3325329,-61.46521696
Healthy,-413328.3243,-359287.6986,772616.0229,-400.2532856,417.3737334,-17.1204478
Healthy,-349993.7295,-422129.5889,772123.3184,-422.0870896,394.7103615,27.37672812
Healthy,-283552.569,-481224.6267,764777.1956,-440.1749294,368.5435787,71.63135071
Healthy,-214594.579,-536048.2801,750642.8591,-454.3562561,339.1056433,115.2506128
Healthy,-143731.8357,-586113.9307,729845.7664,-464.5051953,306.6578485,157.8473468
Healthy,-71593.32169,-630977.1921,702570.5138,-470.5316642,271.4882032,199.043461
Healthy,1180.656384,-670239.8548,669059.1984,-472.3821714,233.9088757,238.4732957
Healthy,73944.15158,-703553.4207,629609.2692,-470.0402918,194.2534227,275.7868691
Healthy,146051.3099,-730622.1963,584570.8863,-463.526812,152.8738289,310.6529831
Healthy,216862.1033,-751205.917,534343.8138,-452.8995461,110.1373824,342.7621637
Healthy,285748.0099,-765121.8804,479373.8705,-438.2528225,66.42341496,371.8294075
Healthy,352097.5937,-772246.5674,420148.9738,-419.7166465,22.1199349,397.5967116
Healthy,415321.931,-772516.7388,357194.8079,-397.4555466,-22.37981699,419.8353636
Healthy,474859.8381,-765929.9965,291070.1584,-371.6671138,-66.68085777,438.3479716
Healthy,530182.8524,-752544.8049,222361.9525,-342.5802481,-110.3899682,452.9702163
Healthy,580799.9229,-732479.9719,151680.049,-310.4531265,-153.1191833,463.5723098
Healthy,626261.7689,-705913.5944,79651.82557,-275.5709118,-194.4892353,470.0601471
Healthy,666164.8677,-673081.4774,6916.609731,-238.2432208,-234.1329209,472.3761416
Healthy,700155.0367,-634275.0412,-65879.99555,-198.8013768,-271.6983598,470.4997365
Healthy,727930.5768,-589838.7344,-138091.8425,-157.5954684,-306.8521185,464.4475869
Healthy,749244.9503,-540166.9767,-209077.9735,-114.9912421,-339.2821698,454.2734119
Healthy,763908.9692,-485700.6583,-278208.3109,-71.36685616,-368.7006623,440.0675185
Healthy,771792.4747,-426923.2261,-344869.2486,-27.1095236,-394.8464753,421.955999
Healthy,772825.4923,-364356.3926,-408469.0997,17.38792432,-417.4875368,400.0996125
Healthy,766998.8528,-298555.5056,-468443.3472,61.73052513,-436.4228831,374.692358
Healthy,754364.2739,-230104.6184,-524259.6556,105.5246907,-451.4844427,345.959752
Healthy,735033.901,-159611.3058,-575422.5952,148.3817011,-462.5385282,314.1568271
Healthy,709179.3119,-87701.27159,-621478.0403,189.9211542,-469.4870227,279.5658684
Healthy,677029.9937,-15012.79423,-662017.1995,229.7743431,-472.2682508,242.4939077
Healthy,638871.3061,57808.93818,-696680.2442,267.587528,-470.8575262,203.2699982
Healthy,595041.9482,130117.5548,-725159.5029,303.0250764,-465.2673707,162.2422943
Healthy,545930.9525,201271.2392,-747202.1917,335.7724421,-455.5474027,119.7749606
Healthy,491974.2318,270638.4263,-762612.6581,365.5389572,-441.7838975,76.24494028
Healthy,433650.7097,337603.4079,-771254.1176,392.060412,-424.0990208,32.03860885
Healthy,371478.0698,401571.7983,-773049.8681,415.1014001,-402.649745,-12.45165515
Healthy,306008.1611,461975.8093,-767983.9704,434.4574082,-377.6264552,-56.83095301
Healthy,237822.0989,518279.2908,-756101.3897,449.9566309,-349.25126,-100.7053709
Healthy,167525.1077,569982.4891,-737507.5967,461.4614961,-317.7760196,-143.6854765
Healthy,95741.1484,616626.4828,-712367.6312,468.8698857,-283.4801106,-185.3897752
Healthy,23107.38064,657797.2567,-680904.6373,472.1160424,-246.6679457,-225.4480968
Healthy,-49731.49317,693129.376,-643397.8828,471.1711531,-207.6662724,-263.5048807
Healthy,-122128.95,722309.2303,-600180.2803,466.0436046,-166.8212723,-299.2223323
Healthy,-193442.385,745077.8171,-551635.4322,456.7789095,-124.4954885,-332.283421
Healthy,-263038.8149,761233.041,-498194.2261,443.4593018,-81.06460763,-362.3946941
Healthy,-330300.497,770631.5069,-440331.0099,426.2030073,-36.91412533,-389.2888819
Healthy,-394630.4118,773189.7934,-378559.3816,405.1631941,7.564075623,-412.7272697
Healthy,-455457.5624,768885.193,-313427.6306,380.5266131,51.97520358,-432.5018167
Healthy,-512242.0427,757755.9136,-245513.8709,352.5119404,95.92506221,-448.4370026
Healthy,-564479.8297,739900.7395,-175420.9098,321.3678361,139.0235495,-460.3913855
Healthy,-611707.2571,715478.1545,-103770.8974,287.3707375,180.8881201,-468.2588576
Healthy,-653505.1308,684704.9352,-31199.80438,250.8224053,221.1471813,-471.9695866
Healthy,-689502.4501,647854.2268,41648.22322,212.0472451,259.4433907,-471.4906358
Healthy,-719379.7,605253.1189,114126.5811,171.3894279,295.4368284,-466.8262563
Healthy,-742871.6882,557279.7419,185591.9463,129.2098355,328.8080142,-458.0178497
Healthy,-759769.8979,504359.9108,255409.987,85.88285675,359.2607431,-445.1435998
Healthy,-769924.3395,446963.346,322960.9935,41.79306513,386.5247144,-428.3177796
Healthy,-773244.8815,385599.5032,387645.3783,-2.668195279,410.3579313,-407.689736
Healthy,-769702.0504,320813.0524,448888.9981,-47.10628319,430.5488484,-383.4425652
Healthy,-759327.2928,253179.0426,506148.2502,-91.12676297,446.9182497,-355.7914867
Healthy,-742212.6956,183297.7982,558914.8975,-134.3389057,459.3208392,-324.9819335
Healthy,-718510.1694,111789.5899,606720.5794,-176.3591574,467.6465307,-291.2873733
Healthy,-688430.0992,39289.1298,649140.9695,-216.8145434,471.8214248,-255.0068814
Healthy,-652239.4781,-33560.063,685799.5411,-255.3459786,471.8084647,-216.4624861
Healthy,-610259.5365,-106111.3739,716370.9104,-291.6114555,467.6077656,-175.9963101
Healthy,-562862.8914,-177720.8323,740583.7236,-325.2890789,459.2566131,-133.9675342
Healthy,-510470.2386,-247752.8275,758223.0662,-356.0799241,446.8291327,-90.74920856
Healthy,-453546.6192,-315585.7507,769132.37,-383.7106892,430.4356315,-46.72494226
Healthy,-392597.2912,-380617.512,773214.8032,-407.9361216,410.2216194,-2.285497765
Healthy,-328163.2451,-442270.8849,770434.1301,-428.5411947,386.3665174,42.17467727
Healthy,-260816.4022,-499998.6297,760815.0319,-445.3430163,359.0820652,86.26095117
Healthy,-191154.5376,-553288.3509,744442.8885,-458.1924524,328.6104413,129.5820111
Healthy,-119795.9752,-601667.045,721463.0202,-466.9754504,295.2221142,171.7533361
Healthy,-47374.09849,-644705.2994,692079.3979,-471.6140517,259.213441,212.4006107
Healthy,25468.27077,-682021.1035,656552.8327,-472.0670839,220.9040372,251.1630467
Healthy,98084.57855,-713283.2396,615198.661,-468.3305258,180.6339397,287.6965861
Healthy,169830.2774,-738214.2227,568383.9453,-460.4375433,138.7605889,321.6769544
Healthy,240068.5474,-756592.7637,516524.2163,-448.4581951,95.6556555,352.8025396
Healthy,308175.9486,-768255.7333,460079.7847,-432.4988107,51.701742,380.7970687
Healthy,373547.955,-773099.6103,399551.6552,-412.7010469,7.288986437,405.4120604
Healthy,435604.3201,-771081.3999,335477.0798,-389.2406298,-37.18840043,426.4290302
Healthy,493794.227,-762219.016,268424.789,-362.3257959,-81.33563417,443.66143
Healthy,547601.1781,-746591.1217,198989.9436,-332.195443,-124.7608608,456.9563038
Healthy,596547.5792,-724336.4314,127788.8522,-299.1170105,-167.078635,466.1956454
Healthy,640198.9783,-695652.4792,55453.50082,-263.3841047,-207.9133411,471.2974457
Healthy,678167.9228,-660793.8659,-17374.0569,-225.3138934,-246.9025274,472.2164208
Healthy,710117.3974,-620069.999,-90047.3984,-185.2442906,-283.7001231,468.9444137
Healthy,735763.8165,-573842.3465,-161921.47,-143.5309568,-317.9795102,461.5104671
Healthy,754879.5405,-522521.2283,-232358.3122,-100.5441426,-349.4364225,449.9805651
Healthy,767294.897,-466562.1743,-300732.7228,-56.66540201,-377.791646,434.457048
Healthy,772899.6864,-406461.8809,-366437.8055,-12.28420578,-402.7934979,415.0777037
Healthy,771644.1602,-342753.8027,-428890.3575,32.20551544,-424.22006,392.0145445
Healthy,763539.4624,-276003.417,-487536.0454,76.40886773,-441.8811485,365.4722808
Healthy,748657.5311,-206803.205,-541854.326,119.933499,-455.6200024,335.6865034
Healthy,727130.4592,-135767.3927,-591363.0664,162.3930816,-465.3146746,302.9215931
Healthy,699149.3225,-63526.49903,-635622.8235,203.4107412,-470.8791147,267.4683735
Healthy,664962.4837,9278.260799,-674240.7445,242.6224021,-472.2639321,229.6415299
Healthy,624873.3876,82000.66656,-706874.0541,279.680019,-469.4568351,189.7768161
Healthy,579237.8677,153995.229,-733233.0967,314.2546657,-462.4827398,148.2280741
Healthy,528460.9882,224622.9194,-753083.9075,346.0394554,-451.4035488,105.3640934
Healthy,472993.4482,293256.8412,-766250.2894,374.7522638,-436.3176016,61.56533779
Healthy,413327.5816,359287.795,-772615.3766,400.1382341,-417.3588022,17.22056809
Healthy,349992.9869,422129.6853,-772122.6722,421.9720387,-394.6954304,-27.27660837
Healthy,283551.8263,481224.723,-764776.5494,440.0598792,-368.5286477,-71.5312315
Healthy,214593.8364,536048.3765,-750642.2129,454.2412065,-339.0907123,-115.1504941
Healthy,143731.093,586114.0271,-729845.1201,464.3901463,-306.6429176,-157.7472286
Healthy,71592.57906,630977.2885,-702569.8675,470.4166158,-271.4732724,-198.9433434
Healthy,-1181.399013,670239.9512,-669058.5522,472.2671236,-233.893945,-238.3731787
Healthy,-73944.8942,703553.5171,-629608.6229,469.9252446,-194.238492,-275.6867526
Healthy,-146052.0526,730622.2926,-584570.2401,463.4117654,-152.8588983,-310.5528671
Healthy,-216862.8459,751206.0134,-534343.1675,452.7845002,-110.1224519,-342.6620483
Healthy,-285748.7525,765121.9768,-479373.2243,438.1377772,-66.40848455,-371.7292926
Healthy,-352098.3363,772246.6638,-420148.3276,419.6016018,-22.10500457,-397.4965972
Healthy,-415322.6736,772516.8352,-357194.1616,397.3405025,22.39474725,-419.7352497
